build_up_area,avg._price,floor,age_of_property,furnishing,bhk,link,possession_status,sector,parking,latitude,longitude
481,5.2,4,0,1,2,"https://housing.com//in/buy/resale/page/12092662-2-bhk-apartment-in-sector-5-for-rs-2500000
",0,5,0,28.4794,77.0176
624,4.01,6,0,0,2,"https://housing.com//in/buy/resale/page/12369541-2-bhk-apartment-in-sector-4-for-rs-2500000
",0,4,0,28.4738,77.0107
450,5.55,7,2,1,1,"https://housing.com//in/buy/resale/page/11548201-1-bhk-apartment-in-sector-35,-sohna-for-rs-2500000
",0,35,2,28.4155,77.0022
300,8.33,2,0,1,1,"https://housing.com//in/buy/resale/page/12674328-1-bhk-apartment-in-sector-8-for-rs-2500000
",0,8,0,28.3738,76.897
500,5.0,6,4,1,1,"https://housing.com//in/buy/resale/page/12706303-1-bhk-apartment-in-sector-102-for-rs-2500000
",0,102,2,28.475,76.9715
650,3.85,3,2,1,2,"https://housing.com//in/buy/resale/page/11981556-2-bhk-apartment-in-sector-5-for-rs-2500000
",0,5,1,28.4794,77.0176
650,3.85,1,0,1,3,"https://housing.com//in/buy/resale/page/12461296-3-bhk-apartment-in-sector-105-for-rs-2500000
",0,105,0,28.4952,77.0114
348,7.18,7,1,2,1,"https://housing.com//in/buy/resale/page/8530113-1-bhk-apartment-in-sector-2,-sohna-for-rs-2250000
",0,2,3,28.5095,77.032
524,4.77,6,0,0,2,"https://housing.com//in/buy/resale/page/11746566-2-bhk-apartment-in-sector-5-for-rs-2500000
",0,5,0,28.4794,77.0176
500,5.0,3,0,2,1,"https://housing.com//in/buy/resale/page/11883739-1-rk-apartment-in-sector-47-for-rs-2500000
",0,47,0,28.4276,77.0492
950,2.63,4,5,1,2,"https://housing.com//in/buy/resale/page/12145746-2-bhk-apartment-in-sector-110-for-rs-2500000
",0,110,3,28.5145,77.0197
500,5.0,6,0,1,2,"https://housing.com//in/buy/resale/page/11838154-2-bhk-apartment-in-sector-5-for-rs-2500000
",0,5,0,28.4794,77.0176
950,2.63,2,0,0,2,"https://housing.com//in/buy/resale/page/11036699-2-bhk-apartment-in-sector-76-for-rs-2500000
",0,76,2,28.3935,76.9888
567,4.41,10,2,0,2,"https://housing.com//in/buy/resale/page/12374961-2-bhk-apartment-in-sector-4,-sohna-for-rs-2500000
",0,4,1,28.4738,77.0107
390,6.41,6,1,0,1,"https://housing.com//in/buy/resale/page/9705507-1-bhk-apartment-in-sector-110a-for-rs-2500000
",0,110a,1,28.5178,77.0291
302,8.28,7,3,0,1,"https://housing.com//in/buy/resale/page/12631711-1-bhk-apartment-in-sector-102-for-rs-2500000
",0,102,1,28.475,76.9715
474,5.27,8,4,0,1,"https://housing.com//in/buy/resale/page/10813033-1-bhk-apartment-in-sector-35,-sohna-for-rs-2500000
",0,35,2,28.4155,77.0022
350,7.14,2,0,2,1,"https://housing.com//in/buy/resale/page/12607402-1-bhk-apartment-in-sector-33,-sohna-for-rs-2500000
",0,33,0,28.442,77.0207
400,6.25,6,0,1,1,"https://housing.com//in/buy/resale/page/12685384-1-bhk-apartment-in-sector-95-for-rs-2500000
",0,95,0,28.4172,76.9081
485,5.15,7,0,0,2,"https://housing.com//in/buy/resale/page/12543491-2-bhk-apartment-in-sector-5-for-rs-2500000
",0,5,0,28.4794,77.0176
